=== kubectl get sa -n kube-system ===
NAME                                          SECRETS   AGE
attachdetach-controller                       0         47m
aws-cloud-provider                            0         47m
aws-node                                      0         46m
certificate-controller                        0         47m
clusterrole-aggregation-controller            0         47m
coredns                                       0         46m
cronjob-controller                            0         47m
daemon-set-controller                         0         47m
default                                       0         47m
deployment-controller                         0         47m
disruption-controller                         0         47m
ebs-csi-controller-sa                         0         4m29s
ebs-csi-node-sa                               0         4m29s
endpoint-controller                           0         47m
endpointslice-controller                      0         47m
endpointslicemirroring-controller             0         47m
ephemeral-volume-controller                   0         47m
expand-controller                             0         47m
generic-garbage-collector                     0         47m
horizontal-pod-autoscaler                     0         47m
job-controller                                0         47m
kube-proxy                                    0         46m
legacy-service-account-token-cleaner          0         47m
namespace-controller                          0         47m
node-controller                               0         47m
persistent-volume-binder                      0         47m
pod-garbage-collector                         0         47m
pv-protection-controller                      0         47m
pvc-protection-controller                     0         47m
replicaset-controller                         0         47m
replication-controller                        0         47m
resourcequota-controller                      0         47m
root-ca-cert-publisher                        0         47m
service-account-controller                    0         47m
service-controller                            0         47m
statefulset-controller                        0         47m
tagging-controller                            0         47m
ttl-after-finished-controller                 0         47m
ttl-controller                                0         47m
validatingadmissionpolicy-status-controller   0         47m
